100;573,311
200;1182,726
300;1853,1188
400;2466,1628
500;4036,2162
600;3771,2627
700;4425,3135
800;5094,3699
900;5694,4202
1000;6538,4700
1100;7046,5285
1200;8126,5889
1300;8724,6380
1400;10441,6977
1500;10006,7574
1600;10829,8202
1700;11398,8715
1800;12822,9378
1900;13606,9750
2000;13593,10482
2100;14284,11035
2200;15080,11662
2300;15738,12199
2400;16507,12867
2500;23565,13476
2600;18327,14059
2700;18778,14661
2800;19696,15381
2900;20341,16066
3000;21371,16560
3100;22094,17284
3200;22702,17808
3300;24470,18730
3400;24209,18911
3500;25217,20061
3600;26555,20495
3700;39442,21201
3800;27722,21992
3900;28476,22681
4000;29204,23227
4100;30159,24081
4200;30731,24575
4300;32494,24471
4400;32460,25706
4500;33213,26651
4600;33707,27026
4700;34636,27715
4800;41081,28405
4900;36007,29165
5000;37272,29494
5100;38219,30676
5200;40941,31459
5300;41159,31867
5400;40791,32799
5500;40850,33247
5600;41696,33627
5700;42668,34517
5800;43390,35562
5900;45138,36005
6000;44801,36382
6100;47441,38656
6200;46721,37710
6300;48674,38922
6400;83547,39494
6500;51335,40189
6600;52591,40919
6700;54711,41226
6800;57277,42425
6900;58663,43066
7000;60807,43759
7100;55535,44329
7200;55981,44985
7300;58402,45863
7400;59346,46794
7500;62109,47042
7600;61950,48073
7700;73955,48840
7800;66924,49354
7900;63552,50420
8000;65528,50903
8100;66005,51371
8200;66483,51878
8300;65204,53324
8400;67508,53373
8500;67670,54617
8600;69645,55012
8700;69547,55503
8800;69665,57125
8900;80508,57415
9000;72512,59825
9100;114310,58641
9200;79306,59681
9300;77363,59836
9400;76003,61032
9500;85568,61865
9600;83426,62104
9700;90262,63507
9800;84083,64193
9900;87278,64619
10000;80327,65821
