500;5;0.076
600;5;0.084
700;5;0.096
800;5;0.121
900;5;0.13
1000;5;0.205
1100;5;0.164
1200;5;0.184
1300;5;0.2
1400;5;0.22
1500;5;0.247
1600;5;0.26
1700;5;0.277
1800;5;0.295
1900;5;0.333
2000;5;0.345
2100;5;0.402
2200;5;0.416
2300;5;0.386
2400;5;0.424
2500;5;0.517
2600;5;0.515
2700;5;0.487
2800;5;0.489
2900;5;0.502
3000;5;0.498
3100;5;0.599
3200;5;0.608
3300;5;0.636
3400;5;0.674
3500;5;0.655
3600;5;0.606
3700;5;0.641
3800;5;0.733
3900;5;0.746
4000;5;0.678
500;10;0.084
600;10;0.1
700;10;0.12
800;10;0.126
900;10;0.142
1000;10;0.164
1100;10;0.185
1200;10;0.285
1300;10;0.253
1400;10;0.249
1500;10;0.312
1600;10;0.394
1700;10;0.315
1800;10;0.347
1900;10;0.364
2000;10;0.342
2100;10;0.39
2200;10;0.423
2300;10;0.506
2400;10;0.442
2500;10;0.452
2600;10;0.477
2700;10;0.501
2800;10;0.517
2900;10;0.556
3000;10;0.552
3100;10;0.557
3200;10;0.672
3300;10;0.62
3400;10;0.69
3500;10;0.703
3600;10;0.741
3700;10;0.766
3800;10;0.807
3900;10;0.795
4000;10;0.829
500;20;0.083
600;20;0.103
700;20;0.123
800;20;0.139
900;20;0.157
1000;20;0.182
1100;20;0.207
1200;20;0.221
1300;20;0.252
1400;20;0.36
1500;20;0.318
1600;20;0.491
1700;20;0.502
1800;20;0.403
1900;20;0.365
2000;20;0.496
2100;20;0.498
2200;20;0.427
2300;20;0.444
2400;20;0.488
2500;20;0.524
2600;20;0.551
2700;20;0.572
2800;20;0.62
2900;20;0.599
3000;20;0.645
3100;20;0.7
3200;20;0.664
3300;20;0.72
3400;20;0.72
3500;20;0.749
3600;20;0.8
3700;20;0.799
3800;20;0.807
3900;20;0.943
4000;20;0.882
500;50;0.107
600;50;0.127
700;50;0.152
800;50;0.167
900;50;0.204
1000;50;0.219
1100;50;0.245
1200;50;0.302
1300;50;0.368
1400;50;0.328
1500;50;0.49
1600;50;0.437
1700;50;0.385
1800;50;0.427
1900;50;0.432
2000;50;0.46
2100;50;0.487
2200;50;0.541
2300;50;0.567
2400;50;0.601
2500;50;0.611
2600;50;0.674
2700;50;0.697
2800;50;0.733
2900;50;0.76
3000;50;0.719
3100;50;0.764
3200;50;0.835
3300;50;0.867
3400;50;0.848
3500;50;0.906
3600;50;0.899
3700;50;0.901
3800;50;1.001
3900;50;1.045
4000;50;1.155
500;5;0.074
600;5;0.084
700;5;0.113
800;5;0.111
900;5;0.169
1000;5;0.145
1100;5;0.181
1200;5;0.19
1300;5;0.202
1400;5;0.226
1500;5;0.245
1600;5;0.266
1700;5;0.334
1800;5;0.298
1900;5;0.312
2000;5;0.334
2100;5;0.351
2200;5;0.421
2300;5;0.422
2400;5;0.478
2500;5;0.475
2600;5;0.448
2700;5;0.576
2800;5;0.486
2900;5;0.502
3000;5;0.499
3100;5;0.603
3200;5;0.533
3300;5;0.564
3400;5;0.656
3500;5;0.795
3600;5;0.701
3700;5;0.642
3800;5;0.66
3900;5;0.924
4000;5;0.84
500;10;0.08
600;10;0.094
700;10;0.105
800;10;0.118
900;10;0.134
1000;10;0.162
1100;10;0.174
1200;10;0.203
1300;10;0.22
1400;10;0.23
1500;10;0.266
1600;10;0.334
1700;10;0.302
1800;10;0.328
1900;10;0.339
2000;10;0.385
2100;10;0.45
2200;10;0.509
2300;10;0.421
2400;10;0.469
2500;10;0.532
2600;10;0.552
2700;10;0.603
2800;10;0.538
2900;10;0.606
3000;10;0.534
3100;10;0.768
3200;10;0.6
3300;10;0.643
3400;10;0.634
3500;10;0.702
3600;10;0.727
3700;10;0.88
3800;10;0.778
3900;10;0.697
4000;10;0.78
500;20;0.083
600;20;0.101
700;20;0.14
800;20;0.143
900;20;0.15
1000;20;0.189
1100;20;0.208
1200;20;0.22
1300;20;0.261
1400;20;0.264
1500;20;0.315
1600;20;0.308
1700;20;0.325
1800;20;0.362
1900;20;0.44
2000;20;0.389
2100;20;0.415
2200;20;0.445
2300;20;0.501
2400;20;0.531
2500;20;0.512
2600;20;0.587
2700;20;0.672
2800;20;0.571
2900;20;0.626
3000;20;0.695
3100;20;0.627
3200;20;0.77
3300;20;0.69
3400;20;0.671
3500;20;0.73
3600;20;0.894
3700;20;0.809
3800;20;1.071
3900;20;1.084
4000;20;0.916
500;50;0.112
600;50;0.134
700;50;0.166
800;50;0.174
900;50;0.271
1000;50;0.238
1100;50;0.238
1200;50;0.266
1300;50;0.299
1400;50;0.326
1500;50;0.341
1600;50;0.37
1700;50;0.441
1800;50;0.431
1900;50;0.583
2000;50;0.509
2100;50;0.49
2200;50;0.513
2300;50;0.627
2400;50;0.637
2500;50;0.595
2600;50;0.699
2700;50;0.66
2800;50;0.799
2900;50;0.699
3000;50;0.767
3100;50;0.774
3200;50;1.007
3300;50;1.039
3400;50;1.01
3500;50;0.944
3600;50;0.974
3700;50;1.036
3800;50;0.923
3900;50;0.993
4000;50;1.029
500;5;0.078
600;5;0.086
700;5;0.099
800;5;0.11
900;5;0.158
1000;5;0.144
1100;5;0.166
1200;5;0.179
1300;5;0.207
1400;5;0.222
1500;5;0.243
1600;5;0.249
1700;5;0.266
1800;5;0.284
1900;5;0.308
2000;5;0.366
2100;5;0.325
2200;5;0.366
2300;5;0.364
2400;5;0.39
2500;5;0.405
2600;5;0.446
2700;5;0.467
2800;5;0.477
2900;5;0.502
3000;5;0.532
3100;5;0.555
3200;5;0.531
3300;5;0.656
3400;5;0.611
3500;5;0.588
3600;5;0.61
3700;5;0.677
3800;5;0.731
3900;5;0.665
4000;5;0.698
500;10;0.076
600;10;0.087
700;10;0.127
800;10;0.126
900;10;0.144
1000;10;0.16
1100;10;0.189
1200;10;0.205
1300;10;0.306
1400;10;0.352
1500;10;0.256
1600;10;0.396
1700;10;0.315
1800;10;0.332
1900;10;0.343
2000;10;0.349
2100;10;0.387
2200;10;0.387
2300;10;0.421
2400;10;0.423
2500;10;0.438
2600;10;0.474
2700;10;0.473
2800;10;0.52
2900;10;0.533
3000;10;0.554
3100;10;0.581
3200;10;0.633
3300;10;0.623
3400;10;0.698
3500;10;0.747
3600;10;0.764
3700;10;0.683
3800;10;0.717
3900;10;0.812
4000;10;0.785
500;20;0.088
600;20;0.105
700;20;0.129
800;20;0.134
900;20;0.156
1000;20;0.228
1100;20;0.214
1200;20;0.257
1300;20;0.274
1400;20;0.309
1500;20;0.291
1600;20;0.319
1700;20;0.46
1800;20;0.372
1900;20;0.445
2000;20;0.437
2100;20;0.412
2200;20;0.467
2300;20;0.504
2400;20;0.485
2500;20;0.506
2600;20;0.541
2700;20;0.534
2800;20;0.595
2900;20;0.596
3000;20;0.627
3100;20;0.644
3200;20;0.683
3300;20;1.08
3400;20;1.076
3500;20;0.729
3600;20;0.726
3700;20;0.828
3800;20;0.923
3900;20;0.814
4000;20;0.938
500;50;0.139
600;50;0.122
700;50;0.148
800;50;0.277
900;50;0.284
1000;50;0.217
1100;50;0.239
1200;50;0.276
1300;50;0.454
1400;50;0.365
1500;50;0.444
1600;50;0.463
1700;50;0.423
1800;50;0.501
1900;50;0.442
2000;50;0.468
2100;50;0.508
2200;50;0.54
2300;50;0.53
2400;50;0.587
2500;50;0.661
2600;50;0.63
2700;50;0.653
2800;50;0.665
2900;50;0.696
3000;50;0.782
3100;50;0.785
3200;50;0.886
3300;50;0.899
3400;50;0.9
3500;50;0.856
3600;50;0.981
3700;50;0.954
3800;50;0.923
3900;50;1.126
4000;50;1.188
500;5;0.075
600;5;0.081
700;5;0.093
800;5;0.114
900;5;0.138
1000;5;0.144
1100;5;0.174
1200;5;0.179
1300;5;0.205
1400;5;0.228
1500;5;0.282
1600;5;0.266
1700;5;0.274
1800;5;0.335
1900;5;0.317
2000;5;0.35
2100;5;0.345
2200;5;0.363
2300;5;0.391
2400;5;0.396
2500;5;0.516
2600;5;0.528
2700;5;0.699
2800;5;0.518
2900;5;0.504
3000;5;0.542
3100;5;0.54
3200;5;0.683
3300;5;0.584
3400;5;0.814
3500;5;0.682
3600;5;0.667
3700;5;0.684
3800;5;0.772
3900;5;0.736
4000;5;0.811
500;10;0.075
600;10;0.094
700;10;0.113
800;10;0.126
900;10;0.139
1000;10;0.155
1100;10;0.18
1200;10;0.206
1300;10;0.23
1400;10;0.239
1500;10;0.256
1600;10;0.286
1700;10;0.289
1800;10;0.332
1900;10;0.383
2000;10;0.359
2100;10;0.368
2200;10;0.438
2300;10;0.48
2400;10;0.422
2500;10;0.449
2600;10;0.476
2700;10;0.511
2800;10;0.641
2900;10;0.776
3000;10;0.564
3100;10;0.583
3200;10;0.637
3300;10;0.594
3400;10;0.623
3500;10;0.679
3600;10;0.716
3700;10;0.754
3800;10;0.728
3900;10;0.744
4000;10;0.723
500;20;0.089
600;20;0.103
700;20;0.124
800;20;0.13
900;20;0.161
1000;20;0.177
1100;20;0.201
1200;20;0.222
1300;20;0.242
1400;20;0.322
1500;20;0.28
1600;20;0.312
1700;20;0.345
1800;20;0.358
1900;20;0.381
2000;20;0.399
2100;20;0.458
2200;20;0.438
2300;20;0.47
2400;20;0.5
2500;20;0.507
2600;20;0.55
2700;20;0.565
2800;20;0.588
2900;20;0.631
3000;20;0.61
3100;20;0.83
3200;20;0.64
3300;20;0.725
3400;20;0.724
3500;20;0.705
3600;20;0.747
3700;20;0.864
3800;20;0.941
3900;20;0.887
4000;20;0.885
500;50;0.106
600;50;0.136
700;50;0.155
800;50;0.181
900;50;0.198
1000;50;0.252
1100;50;0.254
1200;50;0.271
1300;50;0.284
1400;50;0.321
1500;50;0.379
1600;50;0.361
1700;50;0.399
1800;50;0.432
1900;50;0.469
2000;50;0.479
2100;50;0.512
2200;50;0.597
2300;50;0.54
2400;50;0.587
2500;50;0.671
2600;50;0.609
2700;50;0.714
2800;50;0.875
2900;50;0.73
3000;50;0.716
3100;50;0.759
3200;50;0.799
3300;50;0.821
3400;50;0.847
3500;50;0.921
3600;50;0.914
3700;50;0.93
3800;50;0.928
3900;50;1.014
4000;50;1.007
500;5;0.068
600;5;0.089
700;5;0.109
800;5;0.125
900;5;0.136
1000;5;0.16
1100;5;0.162
1200;5;0.186
1300;5;0.216
1400;5;0.256
1500;5;0.235
1600;5;0.266
1700;5;0.267
1800;5;0.306
1900;5;0.314
2000;5;0.341
2100;5;0.37
2200;5;0.373
2300;5;0.469
2400;5;0.388
2500;5;0.398
2600;5;0.601
2700;5;0.473
2800;5;0.448
2900;5;0.51
3000;5;0.615
3100;5;0.521
3200;5;0.635
3300;5;0.563
3400;5;0.687
3500;5;0.609
3600;5;0.721
3700;5;0.649
3800;5;0.676
3900;5;0.67
4000;5;0.718
500;10;0.105
600;10;0.092
700;10;0.124
800;10;0.12
900;10;0.138
1000;10;0.159
1100;10;0.182
1200;10;0.22
1300;10;0.219
1400;10;0.233
1500;10;0.254
1600;10;0.268
1700;10;0.301
1800;10;0.313
1900;10;0.35
2000;10;0.338
2100;10;0.41
2200;10;0.484
2300;10;0.415
2400;10;0.437
2500;10;0.452
2600;10;0.471
2700;10;0.559
2800;10;0.531
2900;10;0.54
3000;10;0.59
3100;10;0.571
3200;10;0.59
3300;10;0.595
3400;10;0.612
3500;10;0.702
3600;10;0.635
3700;10;0.677
3800;10;0.722
3900;10;0.741
4000;10;0.89
500;20;0.087
600;20;0.102
700;20;0.177
800;20;0.168
900;20;0.254
1000;20;0.187
1100;20;0.202
1200;20;0.212
1300;20;0.246
1400;20;0.274
1500;20;0.297
1600;20;0.3
1700;20;0.37
1800;20;0.35
1900;20;0.363
2000;20;0.397
2100;20;0.425
2200;20;0.441
2300;20;0.497
2400;20;0.499
2500;20;0.5
2600;20;0.517
2700;20;0.544
2800;20;0.646
2900;20;0.598
3000;20;0.63
3100;20;0.73
3200;20;0.754
3300;20;0.696
3400;20;0.715
3500;20;0.724
3600;20;0.886
3700;20;0.821
3800;20;0.909
3900;20;0.892
4000;20;1.202
500;50;0.153
600;50;0.205
700;50;0.154
800;50;0.165
900;50;0.199
1000;50;0.227
1100;50;0.267
1200;50;0.315
1300;50;0.379
1400;50;0.41
1500;50;0.484
1600;50;0.388
1700;50;0.398
1800;50;0.48
1900;50;0.447
2000;50;0.507
2100;50;0.51
2200;50;0.597
2300;50;0.552
2400;50;0.571
2500;50;0.633
2600;50;0.646
2700;50;0.627
2800;50;0.748
2900;50;0.718
3000;50;0.766
3100;50;0.845
3200;50;0.772
3300;50;0.904
3400;50;0.929
3500;50;0.899
3600;50;1.02
3700;50;1.212
3800;50;0.95
3900;50;1.078
4000;50;0.994
500;5;0.07
600;5;0.124
700;5;0.144
800;5;0.137
900;5;0.13
1000;5;0.177
1100;5;0.262
1200;5;0.201
1300;5;0.253
1400;5;0.239
1500;5;0.239
1600;5;0.369
1700;5;0.409
1800;5;0.326
1900;5;0.371
2000;5;0.406
2100;5;0.458
2200;5;0.457
2300;5;0.42
2400;5;0.522
2500;5;0.51
2600;5;0.619
2700;5;0.686
2800;5;2.036
2900;5;0.797
3000;5;0.793
3100;5;0.652
3200;5;0.649
3300;5;0.558
3400;5;0.639
3500;5;0.674
3600;5;0.779
3700;5;0.808
3800;5;0.653
3900;5;0.725
4000;5;0.732
500;10;0.075
600;10;0.093
700;10;0.104
800;10;0.129
900;10;0.143
1000;10;0.162
1100;10;0.186
1200;10;0.23
1300;10;0.228
1400;10;0.274
1500;10;0.299
1600;10;0.282
1700;10;0.333
1800;10;0.383
1900;10;0.375
2000;10;0.45
2100;10;0.516
2200;10;0.511
2300;10;0.428
2400;10;0.427
2500;10;0.472
2600;10;0.505
2700;10;0.541
2800;10;0.543
2900;10;0.766
3000;10;0.794
3100;10;0.704
3200;10;0.668
3300;10;0.644
3400;10;0.625
3500;10;0.656
3600;10;0.663
3700;10;0.748
3800;10;0.797
3900;10;1.034
4000;10;0.857
500;20;0.087
600;20;0.099
700;20;0.133
800;20;0.217
900;20;0.206
1000;20;0.253
1100;20;0.284
1200;20;0.306
1300;20;0.263
1400;20;0.355
1500;20;0.276
1600;20;0.317
1700;20;0.404
1800;20;0.366
1900;20;0.446
2000;20;0.418
2100;20;0.423
2200;20;0.62
2300;20;0.508
2400;20;0.552
2500;20;0.546
2600;20;0.529
2700;20;0.589
2800;20;0.748
2900;20;0.812
3000;20;0.807
3100;20;0.678
3200;20;0.653
3300;20;0.725
3400;20;0.726
3500;20;0.76
3600;20;1.02
3700;20;0.867
3800;20;0.855
3900;20;0.815
4000;20;0.879
500;50;0.112
600;50;0.133
700;50;0.146
800;50;0.168
900;50;0.2
1000;50;0.226
1100;50;0.249
1200;50;0.277
1300;50;0.287
1400;50;0.319
1500;50;0.366
1600;50;0.428
1700;50;0.446
1800;50;0.454
1900;50;0.493
2000;50;0.559
2100;50;0.511
2200;50;0.554
2300;50;0.533
2400;50;0.781
2500;50;0.797
2600;50;0.65
2700;50;0.674
2800;50;0.912
2900;50;0.873
3000;50;0.934
3100;50;1.128
3200;50;1.002
3300;50;0.955
3400;50;0.909
3500;50;1.054
3600;50;0.931
3700;50;0.946
3800;50;1.018
3900;50;1.12
4000;50;1.119
500;5;0.068
600;5;0.167
700;5;0.113
800;5;0.166
900;5;0.136
1000;5;0.199
1100;5;0.264
1200;5;0.224
1300;5;0.251
1400;5;0.263
1500;5;0.236
1600;5;0.257
1700;5;0.305
1800;5;0.305
1900;5;0.31
2000;5;0.368
2100;5;0.372
2200;5;0.379
2300;5;0.389
2400;5;0.407
2500;5;0.432
2600;5;0.454
2700;5;0.584
2800;5;0.467
2900;5;0.506
3000;5;0.523
3100;5;0.566
3200;5;0.534
3300;5;0.567
3400;5;0.579
3500;5;0.665
3600;5;0.655
3700;5;0.629
3800;5;0.668
3900;5;0.7
4000;5;0.684
500;10;0.079
600;10;0.092
700;10;0.109
800;10;0.151
900;10;0.137
1000;10;0.158
1100;10;0.174
1200;10;0.198
1300;10;0.24
1400;10;0.27
1500;10;0.268
1600;10;0.274
1700;10;0.409
1800;10;0.305
1900;10;0.439
2000;10;0.406
2100;10;0.397
2200;10;0.443
2300;10;0.465
2400;10;0.451
2500;10;0.486
2600;10;0.508
2700;10;0.494
2800;10;0.531
2900;10;0.545
3000;10;0.532
3100;10;0.553
3200;10;0.655
3300;10;0.746
3400;10;0.713
3500;10;0.635
3600;10;0.717
3700;10;0.713
3800;10;0.764
3900;10;0.738
4000;10;0.738
500;20;0.087
600;20;0.111
700;20;0.131
800;20;0.147
900;20;0.167
1000;20;0.209
1100;20;0.214
1200;20;0.225
1300;20;0.24
1400;20;0.288
1500;20;0.325
1600;20;0.355
1700;20;0.331
1800;20;0.357
1900;20;0.417
2000;20;0.472
2100;20;0.413
2200;20;0.45
2300;20;0.441
2400;20;0.493
2500;20;0.484
2600;20;0.513
2700;20;0.581
2800;20;0.605
2900;20;0.619
3000;20;0.609
3100;20;0.665
3200;20;0.775
3300;20;0.66
3400;20;0.675
3500;20;0.8
3600;20;0.76
3700;20;0.8
3800;20;0.808
3900;20;0.877
4000;20;0.838
500;50;0.113
600;50;0.138
700;50;0.157
800;50;0.174
900;50;0.194
1000;50;0.228
1100;50;0.239
1200;50;0.264
1300;50;0.285
1400;50;0.322
1500;50;0.332
1600;50;0.368
1700;50;0.426
1800;50;0.419
1900;50;0.536
2000;50;0.621
2100;50;0.782
2200;50;1.441
2300;50;0.763
2400;50;0.579
2500;50;0.709
2600;50;0.673
2700;50;0.641
2800;50;0.717
2900;50;0.686
3000;50;0.742
3100;50;0.86
3200;50;0.815
3300;50;0.821
3400;50;0.815
3500;50;0.938
3600;50;0.865
3700;50;0.896
3800;50;1.008
3900;50;1.094
4000;50;1.058
500;5;0.068
600;5;0.084
700;5;0.097
800;5;0.115
900;5;0.133
1000;5;0.147
1100;5;0.162
1200;5;0.176
1300;5;0.225
1400;5;0.222
1500;5;0.229
1600;5;0.249
1700;5;0.264
1800;5;0.353
1900;5;0.341
2000;5;0.317
2100;5;0.333
2200;5;0.354
2300;5;0.378
2400;5;0.447
2500;5;0.452
2600;5;0.439
2700;5;0.484
2800;5;0.488
2900;5;0.503
3000;5;0.551
3100;5;0.551
3200;5;0.679
3300;5;1.008
3400;5;0.865
3500;5;0.691
3600;5;0.711
3700;5;0.697
3800;5;0.933
3900;5;0.735
4000;5;0.722
500;10;0.08
600;10;0.097
700;10;0.124
800;10;0.132
900;10;0.142
1000;10;0.168
1100;10;0.196
1200;10;0.203
1300;10;0.22
1400;10;0.237
1500;10;0.247
1600;10;0.264
1700;10;0.306
1800;10;0.305
1900;10;0.381
2000;10;0.38
2100;10;0.364
2200;10;0.405
2300;10;0.424
2400;10;0.483
2500;10;0.443
2600;10;0.523
2700;10;0.485
2800;10;0.523
2900;10;0.528
3000;10;0.574
3100;10;0.577
3200;10;0.597
3300;10;0.661
3400;10;0.654
3500;10;0.788
3600;10;0.661
3700;10;0.956
3800;10;0.757
3900;10;0.748
4000;10;0.756
500;20;0.083
600;20;0.1
700;20;0.129
800;20;0.14
900;20;0.177
1000;20;0.177
1100;20;0.207
1200;20;0.216
1300;20;0.28
1400;20;0.276
1500;20;0.279
1600;20;0.287
1700;20;0.322
1800;20;0.338
1900;20;0.397
2000;20;0.389
2100;20;0.427
2200;20;0.467
2300;20;0.465
2400;20;0.537
2500;20;0.501
2600;20;0.52
2700;20;0.568
2800;20;0.662
2900;20;0.681
3000;20;0.677
3100;20;0.632
3200;20;0.668
3300;20;0.718
3400;20;0.955
3500;20;0.806
3600;20;0.815
3700;20;0.846
3800;20;0.839
3900;20;0.829
4000;20;0.863
500;50;0.117
600;50;0.128
700;50;0.156
800;50;0.171
900;50;0.197
1000;50;0.216
1100;50;0.244
1200;50;0.268
1300;50;0.289
1400;50;0.311
1500;50;0.348
1600;50;0.364
1700;50;0.398
1800;50;0.421
1900;50;0.456
2000;50;0.491
2100;50;0.506
2200;50;0.58
2300;50;0.555
2400;50;0.578
2500;50;0.628
2600;50;0.653
2700;50;0.656
2800;50;0.793
2900;50;0.696
3000;50;0.732
3100;50;0.764
3200;50;1.145
3300;50;0.905
3400;50;0.896
3500;50;0.861
3600;50;0.89
3700;50;0.984
3800;50;0.945
3900;50;0.967
4000;50;1.098
500;5;0.067
600;5;0.08
700;5;0.133
800;5;0.116
900;5;0.129
1000;5;0.142
1100;5;0.175
1200;5;0.169
1300;5;0.208
1400;5;0.218
1500;5;0.236
1600;5;0.249
1700;5;0.273
1800;5;0.276
1900;5;0.298
2000;5;0.329
2100;5;0.384
2200;5;0.55
2300;5;0.374
2400;5;0.414
2500;5;0.435
2600;5;0.45
2700;5;0.457
2800;5;0.516
2900;5;0.545
3000;5;0.524
3100;5;0.579
3200;5;0.598
3300;5;0.574
3400;5;0.614
3500;5;0.646
3600;5;0.616
3700;5;0.639
3800;5;0.666
3900;5;0.789
4000;5;0.834
500;10;0.081
600;10;0.094
700;10;0.106
800;10;0.122
900;10;0.145
1000;10;0.157
1100;10;0.185
1200;10;0.204
1300;10;0.21
1400;10;0.269
1500;10;0.286
1600;10;0.326
1700;10;0.362
1800;10;0.361
1900;10;0.432
2000;10;0.369
2100;10;0.384
2200;10;0.446
2300;10;0.416
2400;10;0.423
2500;10;0.486
2600;10;0.651
2700;10;0.503
2800;10;0.623
2900;10;0.521
3000;10;0.567
3100;10;0.597
3200;10;0.617
3300;10;0.609
3400;10;0.715
3500;10;0.683
3600;10;0.762
3700;10;0.7
3800;10;0.82
3900;10;0.821
4000;10;0.757
500;20;0.09
600;20;0.11
700;20;0.13
800;20;0.139
900;20;0.157
1000;20;0.184
1100;20;0.199
1200;20;0.293
1300;20;0.279
1400;20;0.258
1500;20;0.284
1600;20;0.317
1700;20;0.401
1800;20;0.472
1900;20;0.523
2000;20;0.409
2100;20;0.428
2200;20;0.431
2300;20;0.473
2400;20;0.495
2500;20;0.509
2600;20;0.528
2700;20;0.531
2800;20;0.615
2900;20;0.586
3000;20;0.779
3100;20;0.66
3200;20;0.744
3300;20;0.676
3400;20;0.706
3500;20;0.695
3600;20;0.738
3700;20;0.746
3800;20;0.823
3900;20;0.83
4000;20;0.872
500;50;0.102
600;50;0.138
700;50;0.145
800;50;0.172
900;50;0.197
1000;50;0.223
1100;50;0.261
1200;50;0.267
1300;50;0.317
1400;50;0.321
1500;50;0.344
1600;50;0.47
1700;50;0.41
1800;50;0.76
1900;50;0.451
2000;50;0.517
2100;50;0.588
2200;50;0.515
2300;50;0.651
2400;50;0.604
2500;50;0.611
2600;50;0.658
2700;50;0.744
2800;50;0.761
2900;50;0.743
3000;50;0.774
3100;50;0.821
3200;50;0.776
3300;50;0.798
3400;50;0.835
3500;50;0.842
3600;50;0.874
3700;50;0.95
3800;50;0.926
3900;50;0.994
4000;50;1.075
500;5;0.097
600;5;0.094
700;5;0.129
800;5;0.16
900;5;0.201
1000;5;0.204
1100;5;0.241
1200;5;0.19
1300;5;0.203
1400;5;0.332
1500;5;0.28
1600;5;0.27
1700;5;0.315
1800;5;0.409
1900;5;0.329
2000;5;0.357
2100;5;0.404
2200;5;0.365
2300;5;0.381
2400;5;0.412
2500;5;0.427
2600;5;0.483
2700;5;0.435
2800;5;0.497
2900;5;0.523
3000;5;0.561
3100;5;0.525
3200;5;0.57
3300;5;0.551
3400;5;0.602
3500;5;0.67
3600;5;0.607
3700;5;0.649
3800;5;0.634
3900;5;0.723
4000;5;0.718
500;10;0.076
600;10;0.089
700;10;0.108
800;10;0.148
900;10;0.141
1000;10;0.157
1100;10;0.176
1200;10;0.213
1300;10;0.218
1400;10;0.256
1500;10;0.311
1600;10;0.442
1700;10;0.447
1800;10;0.387
1900;10;0.322
2000;10;0.348
2100;10;0.391
2200;10;0.42
2300;10;0.421
2400;10;0.493
2500;10;0.497
2600;10;0.467
2700;10;0.501
2800;10;0.499
2900;10;0.588
3000;10;0.72
3100;10;0.548
3200;10;0.628
3300;10;0.617
3400;10;0.729
3500;10;0.648
3600;10;0.666
3700;10;0.744
3800;10;0.699
3900;10;0.797
4000;10;0.842
500;20;0.1
600;20;0.148
700;20;0.122
800;20;0.136
900;20;0.161
1000;20;0.172
1100;20;0.193
1200;20;0.211
1300;20;0.234
1400;20;0.261
