100;544;344
200;1176;790
300;1832;1340
400;2438;1774
500;3089;2330
600;4184;2845
700;4794;3450
800;5309;3947
900;5680;4537
1000;6397;5150
1100;7086;5779
1200;8011;6296
1300;8879;6968
1400;9693;7542
1500;10512;8160
1600;11816;8810
1700;14866;9395
1800;17828;10119
1900;21928;10627
2000;15958;11360
2100;16581;11847
2200;19580;12704
2300;18301;13228
2400;18692;13898
2500;27795;14294
2600;24222;15298
2700;27501;15778
2800;22106;16596
2900;29640;17348
3000;23142;17934
3100;26132;18631
3200;23420;19525
3300;26218;19963
3400;25297;20839
3500;25914;21396
3600;26321;22066
3700;28012;22980
3800;30748;23717
3900;33775;24129
4000;32294;25027
4100;60365;25620
4200;42397;26217
4300;32874;26971
4400;42999;27390
4500;33278;28311
4600;34027;29130
4700;34770;29662
4800;35730;30673
4900;41315;30921
5000;38149;31910
5100;38248;32637
5200;46461;33614
5300;47396;34182
5400;45268;34781
5500;41348;35733
5600;42370;36389
5700;44044;36790
5800;43808;37603
5900;45103;38825
6000;45415;39232
6100;50901;40159
6200;52500;40973
6300;48465;41497
6400;49320;41988
6500;50235;43217
6600;50089;43676
6700;51020;44342
6800;54817;45708
6900;59172;46210
7000;70142;46801
7100;62563;47557
7200;62202;48153
7300;62927;48641
7400;64947;49418
7500;66476;50059
7600;67640;50774
7700;64055;52165
7800;61500;52694
7900;61713;53127
8000;62729;54598
8100;100223;54231
8200;67615;55554
8300;90960;56364
8400;70504;57640
8500;67542;58511
8600;92892;58696
8700;72781;59756
8800;79541;60569
8900;71248;61540
9000;71126;61508
9100;71648;63047
9200;89723;63154
9300;77663;64266
9400;80297;64960
9500;78292;65919
9600;80978;65982
9700;80872;67078
9800;100148;67401
9900;88195;68790
10000;80144;69381
