100;467;415
200;1252;1012
300;1981;2024
400;2386;2462
500;2764;3292
600;3913;5000
700;4780;5788
800;5298;7330
900;5324;6546
1000;7284;8355
1100;7568;9802
1200;9490;11900
1300;9644;12632
1400;10405;14262
1500;10574;14396
1600;11554;16547
1700;13968;17442
1800;15628;19489
1900;18869;20401
2000;15724;18743
2100;16800;20360
2200;21673;24170
2300;22267;26043
2400;22888;27134
2500;39153;29974
2600;26398;30656
2700;29823;30998
2800;25019;32611
2900;30672;36305
3000;24246;35137
3100;28674;38931
3200;23417;33114
3300;28896;36945
3400;24730;35215
3500;26519;43670
3600;25631;37730
3700;29602;48579
3800;32670;45727
3900;31614;52131
4000;31768;51302
4100;56544;42971
4200;45336;54373
4300;38449;55974
4400;38792;60152
4500;36297;51454
4600;38393;52794
4700;41705;58081
4800;40167;63937
4900;46914;59000
5000;42562;70241
5100;43922;72594
5200;49168;74328
5300;67328;75745
5400;48373;75940
5500;46245;77677
5600;47364;59057
5700;44962;66408
5800;47493;73599
5900;49935;86974
6000;50773;86233
6100;68849;90838
6200;51994;84271
6300;51315;84806
6400;51968;83466
6500;53881;97239
6600;52638;87290
6700;52274;81668
6800;59417;91243
6900;61186;89490
7000;61501;103045
7100;59484;103836
7200;58657;99221
7300;57312;97084
7400;55558;87535
7500;60193;110248
7600;62863;111753
7700;65433;104604
7800;71655;113404
7900;68097;114985
8000;64187;111396
8100;64820;124630
8200;71435;116230
8300;97230;114394
8400;83726;131206
8500;77102;128908
8600;89883;118606
8700;84321;131009
8800;97263;112617
8900;85563;136688
9000;80464;128164
9100;106108;125490
9200;105683;142071
9300;87628;133507
9400;94478;145138
9500;89743;153086
9600;104806;155314
9700;97950;161367
9800;113676;143669
9900;94679;117379
10000;94082;164530
